år,offentlig_forvaltning_og_service,landbrug_skovbrug_fiskeri,råstofindvinding,industri,forsyningsvirksomhed,bygge_og_anlæg,handel_og_transport_mv,information_og_kommunikation,finansiering_og_forsikring,ejendomshandel_og_udlejning_af_erhvervsejendomme,boliger,erhvervsservice,offentlig administration_undervisning_sundhed,kultur_fritid_anden_service
1966,10707,5513,240,14941,1418,6928,18692,1776,3831,903,2442,2631,11541,2699
1967,12513,5228,243,16061,1596,7666,20155,2001,4200,1092,3124,2877,13407,2889
1968,14537,5474,265,17788,1736,8191,21592,2166,4560,1261,3955,3249,15418,3126
1969,17072,6499,281,19915,1925,9005,24275,2424,5172,1651,5237,3579,18040,3288
1970,20404,5897,285,21617,2169,9706,27666,2738,5488,1802,5783,4136,21625,3488
1971,24175,6460,278,23591,2389,10910,29233,2955,6174,2088,6981,4780,25275,3937
1972,27656,7727,338,26128,2575,12798,32789,3291,6853,2322,8604,5462,28925,4305
1973,31573,9809,386,30404,2756,13401,39057,3768,8249,2757,10477,6145,33004,4831
1974,37981,10736,375,34596,3413,13904,42879,4199,9339,2961,11704,6751,39492,5609
1975,44546,10266,436,38719,4168,14568,47865,4833,10141,3160,13329,7795,46395,6430
1976,50981,11579,472,43089,4464,16164,55552,5581,12146,3774,17063,8892,52828,7280
1977,56874,13938,729,47702,4509,17291,60523,6156,12836,4153,19185,10217,57780,8224
1978,64191,15675,695,51088,5768,18268,64578,7230,14583,4578,21856,11862,65259,9190
1979,72534,14709,911,56434,6110,18155,71075,8051,15665,5343,25453,13949,73713,10182
1980,82181,16333,767,64178,6534,21844,70300,8883,16970,5631,25573,15310,83062,11317
1981,95435,19084,1760,68432,7155,20315,77087,9508,17725,6110,27692,17009,96373,12840
1982,111439,23420,3871,76773,9757,21434,88013,11297,20791,6909,30301,19330,111877,14303
1983,120463,22357,4305,86156,10668,22567,98775,13435,22818,7804,33439,21844,120496,15654
1984,125717,28485,4934,97906,9818,25857,109064,15588,26331,8705,36388,23679,125804,16974
1985,132611,28015,7194,105625,11070,27591,121858,16856,27998,9653,38996,26063,132667,18257
1986,136617,27631,5992,111428,13450,30589,131153,18441,30237,10289,41111,29761,135598,19451
1987,146718,25832,6144,112785,15148,36758,134917,20160,31443,11166,44649,33595,146202,20762
1988,157926,24595,5153,114743,16572,39075,135520,22028,32237,11799,47244,37134,158455,21494
1989,165331,28771,6827,121506,19768,38639,139952,24151,38155,12666,50326,42273,165548,20465
1990,169512,28125,7697,127181,21615,37145,150760,26651,36656,14538,53794,45119,168858,24585
1991,176807,26981,7575,130441,24488,36980,160015,27266,38722,15275,56946,47685,176552,25690
1992,183318,25769,7909,136394,25295,38039,166061,29134,41434,16102,60140,47205,184420,26360
1993,188631,24996,7632,132951,24803,35420,163454,29575,42924,16235,63405,50536,190861,28627
1994,194023,25835,7666,143521,25554,38040,175801,31317,48422,18343,64440,55574,196155,31015
1995,198054,29559,7933,152540,27303,41209,185640,29864,49002,18467,68372,55549,200513,31418
1996,207220,30385,11630,154247,30138,46485,194174,33528,46540,19028,68881,58550,210182,32741
1997,215822,30225,13565,167634,30358,45780,205057,39058,46854,19297,67788,65041,219791,33607
1998,226402,25435,10478,172289,29727,52291,206941,41176,49210,20593,69735,66864,231162,34675
1999,237190,24098,16068,176982,29506,58503,216757,45486,47505,23291,71445,71704,241518,36347
2000,245418,28553,34328,187690,29387,62445,228105,49120,53621,25381,78438,78276,249918,37859
2001,257298,32087,29786,192515,31165,60486,233110,51053,55277,28758,81116,83480,262135,40150
2002,268467,25119,29614,196497,30940,62456,242140,53330,57906,28816,85825,84114,273404,41457
2003,276225,23143,29268,190190,32567,66402,247491,57106,61003,29772,90099,85539,280756,42488
2004,286424,24435,37601,192002,33932,69738,259777,58230,63413,29836,93770,93227,291283,44078
2005,293603,18170,52538,190876,36557,72745,271587,58334,70267,33934,95502,103105,298215,45821
2006,305479,19602,59098,202983,39010,82793,285878,61810,74938,36927,96085,109833,311822,47874
2007,316631,20421,58493,207819,34497,84636,304182,64001,82084,38840,98061,114015,319224,48742
2008,333079,15453,65210,211183,37271,93359,305112,69963,91893,36484,101841,126180,340092,51413
2009,352199,14356,41413,191245,34713,76199,277017,72573,93102,37137,108561,123550,362129,52946
2010,365705,21766,48384,198005,41459,68993,304452,74119,96659,38760,116437,124531,375160,54017
2011,362052,24233,56446,203954,39893,73782,309281,73519,94140,39317,125073,126634,371652,55820
2012,366912,31357,56646,216675,38690,74530,314410,73193,102419,40108,124779,128236,378874,56169
2013,369453,25127,47366,227310,36791,75662,336369,78298,98822,39445,128624,137477,381396,56770
2014,375284,27389,39465,234970,39019,78519,354546,77455,102909,40714,135303,143099,388259,57332
2015,380678,19500,23424,252578,43375,87639,362970,81773,106119,42857,138748,155719,394834,57591
2016,384187,20259,20391,272628,43016,99620,358277,86400,106806,45830,143177,174800,398513,59420
2017,390163,28614,21424,285290,41591,106586,381008,87786,110395,50341,147684,180301,404198,61656
2018,399496,23132,24639,294924,39158,110521,388341,88977,111868,53452,154663,190108,413924,61454
2019,408726,29263,18963,309824,39913,109875,400020,96385,110642,56727,160022,192422,424058,63464
2020,417225,32073,10073,297589,38926,111112,409610,100469,108779,61140,163494,193814,434783,54091
2021,436503,27776,13379,319801,44736,121706,509980,107928,118124,60774,165318,216101,457171,58249
2022,446848,33212,31171,330133,63398,131895,671803,110496,119096,61751,171575,235426,467780,66789
