år,offentlig_forvaltning_og_service,landbrug_skovbrug_fiskeri,råstofindvinding,industri,forsyningsvirksomhed,bygge_og_anlæg,handel_og_transport_mv,information_og_kommunikation,finansiering_og_forsikring,ejendomshandel_og_udlejning_af_erhvervsejendomme,boliger,erhvervsservice,offentlig administration_undervisning_sundhed,kultur_fritid_anden_service
1966,268885,298679,3231,562182,14257,221242,584311,48998,39347,4474,8363,82568,303726,151423
1967,293118,287460,4608,536432,14591,228499,587169,50971,41150,4660,8755,84683,330624,142786
1968,308044,275295,4372,539390,14921,236306,591956,51720,42952,4795,9189,87365,346061,135625
1969,333831,263447,4071,552316,15285,243780,596984,52871,44775,5565,9522,90018,374961,128260
1970,358886,250135,3830,554482,15638,249752,601366,55292,46613,5834,9987,93933,402574,121615
1971,389012,237010,3927,529750,16216,244067,606280,55520,48977,6417,10738,99728,433517,117894
1972,428526,229621,4253,539599,16707,235837,613631,55495,51286,6805,11507,102718,475548,114016
1973,451134,228219,4265,545298,17062,234765,611363,57425,52780,7029,12479,102743,499994,111944
1974,475895,221546,3755,524382,17388,219572,611269,57748,54326,6794,13300,104220,523069,110445
1975,516990,217226,3376,479469,17707,207031,608769,57461,55794,7524,14511,105600,558701,111063
1976,532534,215085,3275,478256,17712,217573,625746,57572,55291,8242,15301,104708,577374,109857
1977,539626,209505,3413,471182,17731,212488,627148,58182,55762,8729,15942,108866,582911,108474
1978,573475,202247,3658,464118,18022,214908,616989,60954,58709,8738,16506,113442,613177,109811
1979,610115,195698,4065,465320,17945,212247,611688,61279,62535,8578,16591,116360,649124,108329
1980,646488,187854,4183,452512,18003,196988,592558,62901,65015,7865,16014,118309,682996,110041
1981,677917,181000,4435,435337,17839,171776,577797,60067,65945,7406,14502,115814,711844,111992
1982,702956,179790,4463,429085,18360,162729,579028,62140,64677,8076,15538,117439,735286,110312
1983,707146,178228,4334,427776,18995,159728,580561,62677,64135,9042,16530,117398,740739,108557
1984,694737,174568,4749,447641,19175,168962,590097,62484,66151,10191,19043,121049,733149,107421
1985,699780,170053,4872,468961,19880,173709,608190,63655,68846,11102,19424,126166,739996,108559
1986,706278,164239,5124,481577,20085,188510,626888,65416,70974,11903,19632,135932,748124,108150
1987,725778,161917,5063,469860,22946,188696,634074,66597,75041,12384,20949,141979,761093,105933
1988,749750,148478,4750,453269,26055,181864,621063,69799,73601,12408,20837,143743,783542,114289
1989,754498,140826,4380,447806,26150,173165,614689,71943,76837,12710,21019,155966,783472,116255
1990,754422,133094,4141,448737,27199,167536,616331,70666,78618,12474,20276,155035,782502,117476
1991,749886,130064,4088,440299,27273,158232,611187,71747,76993,12608,19841,157874,780167,118161
1992,765306,127460,3904,429542,27687,153715,610497,70728,74362,12860,20294,154809,783475,118142
1993,764653,120867,3810,417190,24117,148435,600865,69993,70350,12734,19994,153341,784174,119408
1994,790913,112292,4047,418773,23575,154387,612501,70883,69352,12701,19125,160260,812110,125816
1995,766012,109395,4314,429844,26230,155722,632332,69344,71390,13310,18870,164080,793766,123421
1996,770874,104851,4276,424880,25710,158157,645000,72710,71607,13905,18807,172356,800685,125025
1997,787539,101316,4259,419840,25585,164263,655312,76802,70635,14827,18581,178288,819137,125571
1998,796687,97513,3671,416425,25267,170144,667173,81397,71983,15101,18537,188321,832628,123962
1999,800204,92869,3820,406620,23769,174187,672441,87795,73847,15783,18350,199056,837998,128234
2000,801415,89976,3868,400889,22619,179642,673008,93471,73186,16828,17694,213237,841455,129276
2001,808794,86982,3900,403176,21764,180367,674927,97179,75331,17311,17728,222668,849500,131640
2002,817516,86878,3639,392591,22733,177565,670961,98753,76132,18159,17676,225540,858440,135135
2003,814576,83919,3829,375954,21165,175301,667936,94400,77082,19620,17507,230647,855049,136243
2004,816538,79857,3492,360409,21064,174542,668996,92899,75310,20928,16407,235275,857177,137798
2005,822568,77722,3543,353496,21203,186247,679948,91562,75967,23535,15156,248341,864376,142066
2006,825966,75020,3678,352220,21531,199171,703160,94977,79561,24957,14996,260090,871246,145331
2007,824795,73398,4032,361881,22143,206496,728119,98359,83958,26615,14411,280518,865403,147076
2008,819107,74061,4351,363567,23669,205601,746811,99464,86428,27797,14646,281452,869716,149307
2009,840205,72181,4877,317190,23989,183797,706523,99270,90233,25780,15475,269789,895323,149921
2010,848308,70976,4599,289022,22095,167853,691050,98318,83487,27981,15898,260771,903994,151812
2011,832833,69934,4969,288854,21504,167454,705181,96167,83004,28585,15976,262235,888857,153909
2012,822357,69320,5555,283335,21790,165344,702052,96309,79642,28082,16260,266376,880623,152125
2013,823785,68814,4402,278239,20541,162719,704957,97083,77236,28260,16340,275710,881006,151097
2014,822184,70482,4331,279648,21730,166088,709879,97745,76637,28072,16518,283592,883570,152219
2015,824035,71896,4206,283171,21270,170787,719746,100707,77375,28555,16762,294693,887436,152392
2016,818539,70926,4265,286510,21500,176011,742134,102972,75434,28840,17028,307088,888799,154946
2017,818190,71622,4405,290038,20852,182244,759869,103432,77820,29319,16992,316323,889434,157212
2018,824083,70259,4707,294503,20577,188380,771524,105935,77913,29899,16853,325674,897355,159201
2019,829716,69717,4605,299723,22113,191690,781617,109342,80168,30577,17068,328959,908689,161213
2020,832942,70551,4311,278736,22798,194950,775922,110915,78818,30803,17074,322852,913917,159815
2021,853233,71395,3918,269190,23678,203726,798968,115448,75862,31700,17182,337464,945145,158200
2022,864910,70350,4017,280723,22430,211614,840522,122853,75178,33243,17249,359123,958183,172401
