år,landbrugsaktiver_primo,bruttoudbytte,driftsomkostninger,lejet_arbejdskraft,ejeraflønning,nettoudbytte,afkastningsgrad_pct
1916,3016,824,604,121,93,220,7.3
1917,3197,699,482,129,105,217,6.8
1918,3686,857,551,151,126,306,8.3
1919,3819,1024,743,180,146,281,7.4
1920,4038,1185,949,212,186,236,5.8
1921,3607,831,798,186,148,33,0.9
1922,3233,837,692,154,133,145,4.5
1923,3463,1023,813,157,152,210,6.1
1924,3819,1235,989,168,173,246,6.4
1925,3755,880,836,157,167,44,1.2
1926,3305,767,732,131,163,35,1.1
1927,3033,775,731,121,150,44,1.5
1928,3085,851,700,115,146,151,4.9
1929,3107,817,682,119,141,135,4.3
1930,3021,651,637,106,146,14,0.5
1931,2825,560,571,93,132,-11,-0.4
1932,2570,562,502,89,123,60,2.3
1933,2449,532,461,89,114,71,2.9
1934,2575,557,478,94,115,79,3.1
1935,2697,609,521,101,126,88,3.3
1936,2700,616,564,104,135,52,1.9
1937,2809,703,603,110,144,100,3.6
1938,2784,701,604,115,152,97,3.5
1939,2883,787,677,119,171,110,3.8
1940,3125,932,711,133,201,221,7.5
1941,3369,929,771,161,192,158,4.7
1942,3672,1035,834,182,211,201,5.5
1943,4104,1241,969,210,243,272,6.6
1944,4320,1266,1042,241,280,224,5.2
1945,4451,1222,1120,262,318,102,2.3
1946,4398,1323,1210,282,338,113,2.6
1947,4470,1403,1306,271,351,97,2.2
1948,4638,1644,1427,275,361,217,4.7
1949,4831,1890,1580,301,380,310,6.4
1950,5249,2091,1762,329,400,329,6.3
1951,5858,2288,1933,350,437,355,6.1
1952,6347,2419,2066,372,470,353,5.6
1953,6688,2414,2132,380,516,282,4.2
1954,6948,2427,2244,369,541,183,2.6
1955,7147,2579,2342,383,564,237,3.3
1956,7482,2582,2381,378,578,201,2.7
1957,7805,2482,2295,368,584,187,2.4
1958,8281,2772,2530,373,597,242,2.9
1959,8611,2989,2801,345,627,188,2.2
1960,9202,2976,2762,344,678,214,2.3
1961,9852,2979,2925,338,766,54,0.5
1962,10279,3340,3148,327,836,192,1.9
1963,10674,3874,3388,333,898,486,3.5
1964,11757,4048,3637,335,989,411,2.6
1965,13280,4240,4002,342,1098,238,1
1966,14977,4360,4352,321,1328,8,-0.5
1967,15681,4426,4522,315,1622,-96,-0.6
1968,15991,4650,4566,289,1593,84,0.5
1969,16345,5138,4958,284,1691,180,1.1
1970,17398,5181,5229,261,1803,-48,-0.3
1971,18315,5641,5442,269,1943,199,1.1
1972,20670,6872,6263,293,2102,609,2.9
1973,22757.9,7554.1,6645.7,310.7,1864.6,908.4,4
1974,26594.3,7869.3,7551.6,360.3,2289.7,317.6,1.2
1975,30625.4,8727.1,8469.2,409.9,2482.3,257.9,0.8
1976,36594.7,9159.9,9433.8,431.1,2653.7,-273.9,-0.8
1977,45259.4,10776,10288,426.6,3030.5,488.2,1.1
1978,50916.1,11866,12121,586.8,3706.5,-254.6,-0.5
1979,50482.9,13011.5,13480,570.3,4059.8,-468.9,-0.9
1980,42549.5,13977,14715,589.6,4036.4,-738,-1.7
1981,41412,16500.7,16144,592.7,4289.4,356.5,0.9
1982,38394.8,17299.2,17235,619.6,5164.7,64.5,0.2
1983,43087.6,17555.5,17650,661.8,4273.9,-94.1,-0.2
1984,47167.1,19289.5,17250,714.6,4133,2039.7,4.3
1985,55677,18264.4,17237,805.2,4045.7,1027.8,1.9
1986,54238.2,17632.2,17124,817.7,4187.7,507.9,0.9
1987,53236.9,16351.8,16970,827,4331.4,-617.9,-1.2
1988,52816.1,17514.5,17702,842.4,4521,-187.9,-0.4
1989,53621.9,19619.2,18169,885.4,4491.5,1450.1,2.7
1990,56282,20947.5,19819,1068.7,4460.4,1128.7,2
1991,58661.6,21406.8,19974,1080.4,4523.2,1433.1,2.4
1992,57994.5,20884.7,20518,1142.5,4572.6,366.4,0.6
1993,57731.7,21027.3,20289,1085.2,4562.7,738.8,1.3
