Name;day_of_birth;month_of_birth;year_of_birth;day_of_death;month_of_death;year_of_death;start_of_reign;end_of_reign
Gorm den Gamle;NA;NA;908;NA;NA;958;NA;958
Harald (1.) Blåtand;NA;NA;NA;NA;NA;987;958;987
Svend (1.) Tveskæg;NA;NA;NA;NA;NA;1014;987;1014
Harald (2.) Svensen;NA;NA;NA;NA;NA;1018;1014;1018
Knud (2.) den Store;NA;NA;995;NA;NA;1035;1014;1035
Hardeknud (Knud 3.);NA;NA;1020;NA;NA;1042;1035;1042
Magnus (1.) den Gode;NA;NA;1024;NA;NA;1047;1042;1047
Svend (2.) Estridsen;NA;NA;NA;28;4;1076;1047;1074
Harald (3.) Hen;NA;NA;NA;NA;NA;1080;1074;1080
Knud (4.) den Hellige;NA;NA;995;10;7;1086;1080;1086
Oluf (1.) Hunger;NA;NA;NA;NA;NA;1095;1086;1095
Erik (1.) Ejegod;NA;NA;1056;NA;NA;1103;1095;1103
Niels;NA;NA;NA;NA;NA;1134;1104;1134
Erik (2.) Emune;NA;NA;NA;18;7;1137;1134;1137
Erik (3.) Lam;NA;NA;NA;27;8;1146;1137;1146
Svend (3.) Grathe;NA;NA;NA;NA;NA;1157;1146;1157
Valdemar (1.) den Store;NA;NA;1131;NA;NA;1182;1157;1182
Knud 6.;NA;NA;1163;NA;NA;1202;1182;1202
Valdemar 2. Sejr;NA;NA;1170;NA;NA;1241;1202;1241
Erik 4. Plovpenning;NA;NA;1216;NA;NA;1250;1241;1250
Abel;NA;NA;1218;NA;NA;1252;1250;1252
Christoffer 1.;NA;NA;1219;NA;NA;1259;1252;1259
Erik (5.) Klipping;NA;NA;1249;NA;NA;1286;1259;1286
Erik (6.) Menved;NA;NA;1274;NA;NA;1319;1286;1319
Christoffer 2.;NA;NA;1276;NA;NA;1332;1319;1326
Valdemar (3.) Eriksen;NA;NA;1314;NA;NA;1364;1326;1329
Christoffer 2.;NA;NA;1276;NA;NA;1332;1330;1332
Valdemar (4.) Atterdag;NA;NA;1320;NA;NA;1375;1340;1375
Oluf 2.;NA;NA;1370;NA;NA;1387;1376;1387
Margrete 1.;NA;NA;1353;28;10;1412;1387;1412
Erik (7.) af Pommern;NA;NA;1382;NA;NA;1459;1412;1439
Christoffer 3. af Bayern;NA;NA;1416;NA;NA;1448;1440;1448
Christian 1.;NA;NA;1426;21;5;1481;1448;1481
Hans;2;2;1455;20;2;1513;1481;1513
Christian 2.;1;7;1481;25;1;1559;1513;1523
Frederik 1.;7;10;1471;10;4;1533;1523;1533
Christian 3.;12;8;1503;1;1;1559;1534;1559
Frederik 2.;1;7;1534;4;4;1588;1559;1588
Christian 4.;12;4;1577;28;2;1648;1588;1648
Frederik 3.;18;3;1609;9;2;1670;1648;1679
Christian 5.;15;4;1646;25;8;1699;1670;1699
Frederik 4.;11;10;1671;12;10;1730;1699;1730
Christian 6.;30;11;1699;6;8;1746;1730;1746
Frederik 5.;31;3;1723;14;1;1766;1746;1766
Christian 7.;29;1;1749;13;3;1808;1766;1808
Frederik 6.;28;1;1768;3;12;1839;1808;1839
Christian 8.;18;9;1786;20;1;1948;1839;1848
Frederik 7.;6;10;1808;15;11;1863;1848;1863
Christian 9.;8;4;1818;29;1;1906;1863;1906
Frederik 8.;3;6;1843;14;5;1912;1906;1912
Christian 10.;26;9;1870;20;4;1947;1912;1947
Frederik 9.;11;3;1899;14;1;1972;1947;1972
Margrethe 2.;16;4;1940;NA;NA;2023;1972;2023
